company,time,year,quarter,sale,profit,profit margin,asset,debt,equity
LotteMart,8,2019,4,11580,-100,-0.863557858,90797.90983,58965.62775,31832.28208
LotteMart,9,2020,1,12270,100,0.814995925,100107.1891,64901.28771,35205.9014
LotteMart,10,2020,2,11040,-640,-5.797101449,91798.9916,60059.67375,31739.31784
LotteMart,11,2020,3,12790,270,2.111024238,106360.095,70042.84949,36317.24549
LotteMart,12,2020,4,11020,240,2.177858439,94062.34407,62259.56341,31802.78067
LotteMart,13,2021,1,11660,-60,-0.51457976,103758.9742,69960,33798.97423
LotteMart,14,2021,2,10940,-280,-2.559414991,96183.98668,63714.35819,32469.62849
LotteSuper,1,2018,1,4900,-100,-2.040816327,30861.99678,16032.36715,14829.62963
LotteSuper,2,2018,2,5030,-140,-2.783300199,31664.09451,16900.48157,14763.61293
LotteSuper,3,2018,3,5210,-160,-3.071017274,31040.45561,16384.47487,14655.98075
LotteSuper,4,2018,4,4610,-230,-4.989154013,27524.78172,14501.89859,13022.88313
LotteSuper,5,2019,1,4740,-170,-3.58649789,35252.08455,22028.689,13223.39555
LotteSuper,6,2019,2,4740,-200,-4.219409283,36416.94345,23134.09336,13282.85009
LotteSuper,7,2019,3,4760,-240,-5.042016807,36887.02838,23398.02043,13489.00795
LotteSuper,8,2019,4,4380,-430,-9.817351598,34343.25087,22303.06127,12040.1896
LotteSuper,9,2020,1,4910,-60,-1.221995927,40059.19303,25971.09394,14088.09909
LotteSuper,10,2020,2,4300,-100,-2.325581395,35755.04202,23392.80771,12362.23431
LotteSuper,11,2020,3,4550,30,0.659340659,37837.25037,24917.51096,12919.73941
LotteSuper,12,2020,4,2810,-70,-2.491103203,23985.04418,15875.6237,8109.420478
LotteSuper,13,2021,1,3880,30,0.773195876,34527,23280,11247
LotteSuper,14,2021,2,3580,-20,-0.558659218,31475.19857,20849.85396,10625.34461
